title,created_at,author
"Added tests for the sequence filter",2025-07-18T05:27:44Z,ArnabChatterjee20k
"Deletes 1d 365 days",2025-07-14T13:16:36Z,fogelito
"Fix amqp",2025-07-04T23:26:58Z,abnegate
"Only delete schedule document if execution is successful",2025-07-04T06:54:34Z,vermakhushboo
"Ring loop dispatch",2025-07-04T00:31:46Z,abnegate
"Update to PHP 8.4.8, Swoole 6.0.2",2025-07-02T20:49:57Z,abnegate
"feat: added clerk Oauth as provider and updated specs",2025-06-28T14:22:21Z,Nishantjain10
"Responsible disclosure improvements",2025-06-25T23:45:40Z,EVDOG4LIFE
"Feat graceful shutdown",2025-06-23T19:13:48Z,abnegate
"fix:  Users.CreateUser... vague error into optional name parameter.",2025-06-20T17:12:49Z,Abiji-2020
"[WIP] Add formspree, clerk and react-admin templates to sites",2025-06-19T15:33:21Z,vermakhushboo
"Not: Edge differences",2025-06-04T10:57:16Z,Meldiron
"Ask users to have backups before installing the new version and fix cap letter.",2025-05-27T19:10:47Z,DH-555
"fix: update error message for site size limit",2025-05-26T17:40:17Z,Julien-prrs
"fix: Update es.json to resolve `{{name}}` bug",2025-05-25T14:06:22Z,alejndr0
"Feat kakao oauth",2025-05-25T06:47:10Z,BaekMinHyeok
"Ajout d'une astuce Git à la traduction française",2025-05-24T13:30:37Z,RyZenoKelb
"Sairam",2025-05-22T05:52:39Z,Sairamtony
"Update README.md",2025-05-20T06:01:20Z,LauraDuRy
"Fix: Flutter env limits!",2025-05-19T13:46:44Z,ItzNotABug
"Update CHANGELOG.md",2025-05-19T12:36:01Z,kamil-k7
"Move Console envs to Appwrite",2025-05-19T10:38:07Z,ItzNotABug
"Update Authentik.php",2025-05-18T19:55:44Z,darsh12
"experiment: fastly mock proxy",2025-05-18T15:43:23Z,TorstenDittmann
"Use streaming to create runtimes with the executor",2025-05-17T19:52:59Z,TorstenDittmann
"Pg adapter installation",2025-05-16T08:42:45Z,ArnabChatterjee20k
"Chore debug tests",2025-05-06T19:24:55Z,vermakhushboo
"fix: validate SMTP username and password during SMTP settings",2025-05-01T10:44:53Z,susubot
"Tls Cert failed msg override",2025-04-28T14:55:02Z,shimonewman
"Feat: Configurable sizes",2025-04-24T13:43:41Z,Meldiron
"fix: validate SMTP credentials using SMTPAuth",2025-04-19T05:59:59Z,kateliuhyd
"Feat: additional indexes",2025-04-09T06:00:35Z,lohanidamodar
"Split Docker Compose into multiple files for better organization",2025-04-08T00:13:41Z,TorstenDittmann
"fix: improve error messages in auth controller",2025-04-06T19:45:37Z,gamzeozgul
"Fix: Correct error handling for int values like documentId = 123",2025-04-04T20:56:11Z,urooj-vX
"Fix: vcs tests",2025-04-03T07:53:18Z,Meldiron
"Fix the build status badge in README files",2025-03-30T08:41:03Z,PeterDaveHello
"📝 Add docstrings to `fix-deployment-status`",2025-03-28T11:09:28Z,coderabbitai[bot]
"Handle empty entrypoint in create template deployment",2025-03-24T05:48:45Z,vermakhushboo
"Remove temp fix",2025-03-20T02:04:54Z,abnegate
"Update README.md",2025-03-15T15:30:00Z,rajukani100
"Fix framework version temporary",2025-03-06T11:15:38Z,shimonewman
"Fix remove duplicate metrics from stats usage",2025-03-05T05:49:06Z,lohanidamodar
"Fixed null name error",2025-02-15T21:04:43Z,josuedjohnson
"Refactor tasks",2025-02-12T11:14:18Z,lohanidamodar
"Feat: ZIP site deployment",2025-02-08T20:23:24Z,Meldiron
"#4952 test email address cause SMTP disconnected bug resolved 👍",2025-01-28T10:36:19Z,Abhinav163
"Fix Arabic translations in ar.json",2025-01-25T23:09:41Z,demanhamed
"Feat 001 dynamic resource scaling",2025-01-11T23:00:27Z,yigitozgul14
"Chore: Upgrade runtims",2025-01-10T14:07:26Z,Meldiron
"Feat: Deprecated runtims",2025-01-09T11:46:14Z,Meldiron
"added some missing stats to project usage",2024-12-29T18:49:30Z,shimonewman
"Fix copy for team invite email",2024-12-27T10:10:14Z,vermakhushboo
"Add import for Functions service in Python examples and fix wrong parameter name async to xasync",2024-12-26T18:25:15Z,KevinRohn
"Spelling",2024-12-24T00:47:58Z,jsoref
"Fix: smtp templates",2024-12-20T10:38:16Z,Meldiron
"Storing usage history in local state",2024-12-09T09:48:13Z,shimonewman
"Add session alerts for all languages with AI except for DE, ES and CS. Fix ES user name.",2024-12-05T22:20:05Z,DH-555
"Fix: use size actual instead",2024-12-04T05:04:05Z,lohanidamodar
"feat: speed enhancement by parallel builds in ci/cd pipeline",2024-12-02T19:53:31Z,ARYPROGRAMMER
"chore(deps-dev): bump twig/twig from 3.14.0 to 3.14.2",2024-11-12T19:49:08Z,dependabot[bot]
"Add git commit author avatar to deployments",2024-11-11T19:11:34Z,vermakhushboo
"Create README-ES.md (Spanish/Español)",2024-10-27T10:42:47Z,DH-555
"make view api use file cache",2024-10-25T15:39:11Z,shimonewman
"fix: createuser... endpoints return a vague server error when null name is provided",2024-10-24T09:49:16Z,Shaik-Sirajuddin
"📚 Documentation: Deprecation of ${workspaceRoot} in VSCode debug config for XDebug setup. #8814",2024-10-22T12:22:39Z,Kraftsman1
"feat: custom registrar",2024-10-18T19:45:26Z,TorstenDittmann
"update docker image to use the latest image tag",2024-10-14T10:20:31Z,egyleader
"Reduce builds usage storage",2024-10-10T19:40:35Z,shimonewman
"example: compose files",2024-10-09T10:20:00Z,TorstenDittmann
"Adds state parameter to OAuth2 flow",2024-10-09T00:49:17Z,gepd
"Replace expectException with try/catch",2024-10-03T10:22:11Z,vermakhushboo
"feat(oauth): implement figma provider integration",2024-10-01T16:56:13Z,albnunes
"Feat: PHP Stan code analysis",2024-09-27T15:16:19Z,Meldiron
"Fix: unwanted logs & outbound issues",2024-09-20T11:04:57Z,Meldiron
"Fixing new user blocked issue",2024-09-20T01:34:40Z,EJM143
"Replace sleep with await method in functions",2024-09-18T22:15:19Z,vermakhushboo
"Refactor: Update Vietnamese translations",2024-08-13T15:54:22Z,Hung-00
"Feat enum statuses",2024-08-02T20:18:15Z,byawitz
"updated the mobile platform",2024-08-01T17:18:29Z,EswaramoorthyS
"Db project by region",2024-07-30T15:37:16Z,shimonewman
"Avoid adding default storage permission for console user",2024-07-16T16:55:43Z,Souptik2001
"Add better error message for `CustomID` validator input data type",2024-06-27T05:01:58Z,Souptik2001
"Skip session secret validation and add session expiry check in case of JWT authentication",2024-06-24T09:23:53Z,Souptik2001
"[docs] Closing parenthesis is missing for print prompts",2024-06-19T10:16:50Z,hbjORbj
"Feat implement webauthn",2024-06-18T05:54:46Z,PineappleIOnic
"docs: :memo: improve nepali translation (ne.json)",2024-06-16T10:43:54Z,infysumanta
"Exteand deletes worker",2024-06-16T08:11:44Z,shimonewman
"Updates in multi region sync",2024-06-04T14:10:16Z,shimonewman
"docker-compose: mariadb",2024-05-24T05:54:45Z,grooverdan
"Feat split migrations",2024-05-17T08:22:06Z,PineappleIOnic
"Fix: executor failures",2024-05-16T10:42:43Z,Meldiron
"Fix potential github action smells",2024-05-05T19:18:21Z,ceddy4395
"fix: removing unused appwrite-worker-mails Redis variables",2024-05-03T20:56:39Z,byawitz
"Rollback experimental logging",2024-03-19T09:07:52Z,PineappleIOnic
"fix: migration 1.4.x",2024-03-13T12:02:37Z,TorstenDittmann
"Implementing the OAuth2 provider for 42 School in Appwrite",2024-03-09T22:40:46Z,lxup
"Add event information into specs",2024-03-07T13:41:27Z,gewenyu99
"Feat: DB proxy",2024-03-05T11:26:21Z,Meldiron
"feat: Better error message for maximum file size (storage_invalid_file_size)",2024-02-19T06:57:28Z,Gustl22
"Confusing error when console accounts are restricted",2024-02-02T03:58:15Z,gewenyu99
"Feat: Remember me toggle",2024-01-23T10:55:26Z,Meldiron
"Refactor Database for Limit count from environment",2023-12-25T18:49:27Z,va2ron1
"Add Tunnelmole as an open source alternative to ngrok",2023-12-19T10:45:05Z,robbie-cahill
"fix: user-api-prefs-response",2023-12-10T05:45:21Z,nick2432
"Feat: Improve DB override",2023-11-27T11:59:41Z,Meldiron
"Update unsupported auth error code",2023-11-06T16:20:43Z,PineappleIOnic
"feat: use ghcr.io",2023-11-03T13:14:53Z,TorstenDittmann
"add fusionauth provider",2023-10-23T23:58:06Z,codercatdev
"[WIP]: Add storage uploaded event to fix #4507",2023-10-12T22:40:14Z,joern-h
"[Docs] Adding Elestio as one-click deploy option",2023-10-05T07:09:47Z,kaiwalyakoparkar
"Feat: Rename logs queue",2023-10-02T09:13:41Z,Meldiron
"Feat 5263 configurable jwt expiration",2023-09-14T20:23:45Z,MKSinghDev
"Framework v2",2023-09-10T12:34:51Z,lohanidamodar
"Move the project variables endpoints to the projects controller ",2023-09-01T19:35:08Z,stnguyen90
"Added Español to README.md",2023-09-01T17:11:37Z,learnwithalex
"fix: typo for description in function model docs",2023-08-30T08:14:38Z,Mr-Destructive
"docs autocompletion command code fix #6039",2023-08-28T04:42:55Z,sital002
"Update tr.json",2023-08-25T20:09:01Z,tuvaergun
"Feat: Add appwriteException with constants for error types in specs",2023-08-12T17:54:06Z,sahilsaha7773
"Fix 5893 oauth deeplink multiple sessions",2023-07-27T14:24:53Z,roo12312
"feat: router gen. 2",2023-07-18T12:54:35Z,TorstenDittmann
"Bump clamav to get it working again",2023-07-17T20:11:45Z,stnguyen90
"Audit Appwrite's generic error messages",2023-06-22T21:35:43Z,gewenyu99
"Feat: Mulitple Events Execution",2023-06-05T10:16:08Z,PineappleIOnic
"Updated and renamed 10k-common-passwords to 100k-common-passwords",2023-05-15T15:35:36Z,sm-raiyyan
"[FIX] #5506 fixed by increasing the offset from 5000 to 1000000 for li…",2023-05-05T21:03:22Z,deepam-kapur
"Feat: Added minSize for String Attribute",2023-05-04T20:22:20Z,singhbhaskar
"docs(environment-variables): Update functions documentation",2023-05-04T09:30:58Z,Shiva953
"fix : Improper filter in Create user",2023-05-02T07:25:25Z,Shiva953
"Feat registrar",2023-04-18T14:44:51Z,wess
"experiment: response models overhaul",2023-03-31T01:04:25Z,TorstenDittmann
"Adds sha256 to etsy pkce based auth",2023-03-21T18:19:51Z,wess
"Docs: Fix Max Size of Function Response",2023-02-17T22:25:48Z,gewenyu99
"Feat : Decouple `/projects` endpoint",2023-01-16T18:37:18Z,everly-gif
"feat : Update OAuth tutorial",2022-12-15T09:53:34Z,everly-gif
"Refactor cache new",2022-12-07T12:00:28Z,everly-gif
"pt-PT translation improvements",2022-11-28T10:40:39Z,cesperanc
